reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,month_year,review_length,sentiment,sentiment_category,topics
4b5cc02f-7d10-4e63-9e62-119f889eee17,David Hildebrand,https://play-lh.googleusercontent.com/a-/ALV-UjWkdKtDJ9GFC05IHQXrh27beB_8IbmkcsLIY3LDGaN8n7m3,"Can you give the option to remove the SOS icon, it's really annoying and gets in the way, especially when I switch to the maps app. Edit: horrible response, Im driving, it's not dangerous, I'm not going to die. I dont need a button for 911 when I can dial it in 2 seconds. There's only so much screen on my small phone, no matter where I drag it its still annoying. I don't see why you can't just make it an ""option"" to disable it. Edit: By the way, it doesn't work when I press it so it's useless",1,15,1.6.0,2021-06-30 23:21:55,"The SOS button is a safety feature that your management has added to the Driver App, giving all drivers instant access to emergency services. You can drag the SOS button to move it to a more convenient location. Please share any feedback on this feature directly with your manager, so that we can work directly with them to make any needed changes.",2021-05-18 14:43:04,1.6.0,2021-06,497,"Overall, the sentiment of this review is negative. The reviewer expresses annoyance and frustration with the SOS icon, describing it as ""annoying"" and getting in the way, particularly when using the maps app. The reviewer also criticizes the response received, calling it ""horrible."" Additionally, the reviewer argues that the SOS button is unnecessary and useless, stating that they can dial 911 quickly without it. The repeated use of negative language and dissatisfaction indicates a negative sentiment towards the SOS icon feature.",Negative,"['Based on the review provided', ' the main topics can be identified as follows:\n\n1. Request to remove the SOS icon\n2. Annoyance and interference caused by the SOS icon', ' especially when using the maps app\n3. Criticism of the response received regarding the request to remove the SOS icon\n4. Assertion that driving while using the phone is not dangerous and the ability to dial 911 quickly\n5. Complaint about the limited screen space on a small phone and the inability to remove the SOS icon\n6. Mention of the SOS button not working and being considered useless.']"
b1d9c618-16f5-4e48-80fa-971463d8f05b,S N,https://play-lh.googleusercontent.com/a/ACg8ocI6w7WcTSW5NxfhBsY7Lx-kAo7P_xUH4WTk9wQgbVUM=mo,"This app makes my blood boil. Routing continously changes, it should lock in the route based on distance from the starting point. The integration with Google Maps is wonky. I'd like to see the route completely charted out, one stop after another etc etc. The latest update is trash!!! It is cancelling orders as they sit with the other packages for delivery, and also is giving individual bar coded packages an address out of state, hundreds of miles away. Ridiculous! I hope this is fixed.",1,16,1.1.356,2020-12-12 00:20:07,,,1.1.356,2020-12,490,"Based on the review provided, the sentiment can be categorized as negative. The reviewer expresses frustration and dissatisfaction with various aspects of the app, such as the continuously changing routing, integration issues with Google Maps, and problems with the latest update. The reviewer also describes the app as ""trash"" and mentions specific issues like canceled orders and incorrect addresses for packages. However, the review ends with a statement of hope that the problems will be fixed.",Positive,"['Based on the review', ' the main topics can be identified as follows:\n\n1. Routing: The customer mentions that the routing continuously changes and suggests that the app should lock in the route based on distance from the starting point.\n\n2. Integration with Google Maps: The customer states that the integration with Google Maps is ""wonky', '"" implying that there might be issues or inconsistencies with how the app interacts with Google Maps.\n\n3. Route Visualization: The customer expresses a desire to see the route completely charted out with one stop after another', ' indicating a preference for a clear and visual representation of the route.\n\n4. Latest Update Issues: The customer complains about the latest update', ' mentioning that it is cancelling orders that are already with other packages for delivery and assigning incorrect addresses to bar coded packages.\n\n5. Overall App Performance: The customer expresses frustration with the app and hopes that the mentioned issues will be fixed', ' suggesting dissatisfaction with the overall performance of the app.']"
8f229e39-4cc9-46ac-ab08-bb85b6df8322,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I've been using this app for several months. It requires the Bluetooth be turned on. I don't have a Bluetooth. It uses a lot more battery on my phone. It has crashed over 100 times. I'm using a Samsung S7. If it didn't require the Bluetooth on, I think it would be better. I don't know why it keeps crashing. I think I've had better results by putting it in the background instead just putting it on power saver without doing that.",3,2,1.1.275,2019-09-23 18:25:00,"Thanks for reaching out. This app is customized to each business. It sounds like you have some ideas for how to improve the setup for your team. We recommend sharing this feedback with your manager, so that we can better prioritize any changes. 

You can also reach us offline at support@bringg.com with any additional questions. We are here to help.",2019-09-24 12:08:16,1.1.275,2019-09,431,"Based on the review, the sentiment can be analyzed as follows:

1. ""I've been using this app for several months."" - Neutral sentiment.
2. ""It requires the Bluetooth be turned on. I don't have a Bluetooth."" - Negative sentiment, as the user does not have Bluetooth and is unable to use the app fully.
3. ""It uses a lot more battery on my phone."" - Negative sentiment, as the app negatively impacts the battery life.
4. ""It has crashed over 100 times."" - Negative sentiment, as the app frequently crashes.
5. ""If it didn't require the Bluetooth on, I think it would be better."" - Neutral sentiment, as the user suggests a potential improvement.
6. ""I don't know why it keeps crashing."" - Negative sentiment, as the user is frustrated by the frequent crashes.
7. ""I think I've had better results by putting it in the background instead of just putting it on power saver without doing that."" - Neutral sentiment, as the user suggests a workaround.

Overall, the sentiment of the review is predominantly negative, with some neutral statements.",Positive,"['Based on the review', ' the main topics can be identified as follows:\n\n1. Bluetooth requirement: The reviewer mentions that the app requires Bluetooth to be turned on', "" which seems to be an inconvenience for them as they don't have Bluetooth.\n\n2. Battery usage: The reviewer states that the app consumes a lot of battery on their phone"", "" indicating that it may have a significant impact on their device's battery life.\n\n3. App crashes: The reviewer expresses frustration with the app crashing frequently"", "" mentioning that it has crashed over 100 times. This suggests a major issue with the app's stability.\n\n4. Device compatibility: The reviewer specifies that they are using a Samsung S7"", ' which implies that the app may have compatibility issues with this particular device.\n\n5. Performance optimization: The reviewer shares their experience of achieving better results by putting the app in the background instead of using power saver mode', ' indicating a potential workaround for improving performance.\n\nIn summary', ' the main topics in this review are the Bluetooth requirement', ' battery usage', ' app crashes', ' device compatibility', ' and performance optimization.']"
bc03f960-27ff-413e-b2e5-8430580d3abf,Bryan Cox,https://play-lh.googleusercontent.com/a-/ALV-UjVeM49jmE1IcXWvGbyMBFaWBAc4rgDjzy_Ln0I7lH7O8Z4,"Extremely buggy. You have to disable all notifications or it gives you hundreds of useless notifications that pop up over the map while you're driving. Occasionally starts randomly pausing any music you have playing, and this can only be fixed by entirely restarting your phone. Causes any music you have playing to stutter if you bring it to the front while playing music. Keeps insisting I have to give it microphone access, even though I absolutely have no need for it to access my microphone.",1,12,1.10.1,2021-09-23 06:51:14,,,1.10.1,2021-09,496,"Overall, the sentiment of this review is negative. The reviewer expresses frustration with the app's bugs and issues, such as excessive notifications, random pausing of music, stuttering when bringing music to the front, and unnecessary microphone access requests.",Negative,"['Based on the provided review', ' the main topics can be identified as follows:\n\n1. Bugs and glitches: The reviewer mentions that the app is extremely buggy and highlights specific issues such as excessive and useless notifications', ' random pausing of music', ' and stuttering when bringing the app to the front while playing music.\n\n2. Notification settings: The reviewer suggests that in order to avoid the excessive notifications', ' they had to disable all notifications from the app.\n\n3. Music playback issues: The reviewer points out that the app occasionally interrupts and pauses any music being played', ' requiring a complete phone restart to fix the issue. They also mention that bringing the app to the front while playing music causes stuttering.\n\n4. Microphone access: The reviewer mentions that the app repeatedly asks for microphone access', ' even though they do not see any need for it to have access to their microphone.']"
2b7c1b03-747c-4c40-8d5c-ebd0bb8b0a0a,David Calderon,https://play-lh.googleusercontent.com/a-/ALV-UjUs78cDBy0Jd7dk1T9Oc53Q4qma0UrWou9HLi2GO6boXA,"The apple version if this app gives us the option to dismiss an order to take it off the screen. We can still pick it up at a later time. However, the android version of this app only allows us to reject orders, which is incredibly inconvenient considering that the pop-up for an order stops us from being able to complete an order. I have to ask my manager to assign me the order from the managing app, however, this is unreliable as they are busy and can't always get to me on time.",2,4,1.34.1,2023-04-22 15:06:37,"Hi David, thank you for taking the time to share this feedback.
Both versions should provide the same experience.
Please contact us at product.support@bringg.com so we can have additional information and solve this issue.",2023-05-04 09:27:33,1.34.1,2023-04,484,"Overall, the sentiment of this review is negative. The reviewer expresses frustration with the Android version of the app, stating that it is inconvenient and stops them from being able to complete orders. They also mention that the alternative method of assigning orders through the managing app is unreliable.",Positive,"['Based on the review', ' the main topics can be identified as follows:\n\n1. App functionality: The review mentions the difference in functionality between the apple version and the android version of the app. Specifically', "" the ability to dismiss an order on the apple version and the inconvenience of only being able to reject orders on the android version.\n\n2. Order management: The review discusses the impact of the app's functionality on the ability to complete orders. It mentions that the pop-up for an order on the android version interrupts the user from completing an order"", ' leading to the need to ask a manager to assign the order through a separate managing app.\n\n3. Manager reliance: The review highlights the reliance on managers to assign orders when using the android version of the app. It mentions that this reliance can be unreliable as managers are busy and may not always be able to assign orders on time.']"
5f39b5b1-00a7-427e-8e69-f778f485af4c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"sometimes updates help and sometimes they're a pain to get used to, but I felt I had to comment on the last update. the itemization of orders is way too complicated to follow. When I click on an order I don't need each modification listed as if it were a separate item. It's too easy to leave things behind and almost impossible to validate then literally every second costs money. this was way too much of a negative impact on how I can successfully perform my job.",2,4,1.1.271,2019-08-16 20:45:01,"Thank you for sharing this feedback. Please know that we customize the app to each business. Please share this feedback with your manager so we can best address and resolve and issues. I have also shared this feedback with our team so we look into any possible issues.

You can also reach us directly at support@bringg.com with any further feedback.",2019-08-18 08:36:42,1.1.271,2019-08,466,"Overall, the sentiment of this review is negative. The reviewer expresses frustration with the complexity of the order itemization and the difficulty in following modifications. They also mention the negative impact it has on their job performance.",Negative,"['Based on the review', ' the main topics can be identified as:\n\n1. Updates: The reviewer mentions that updates can be helpful but sometimes difficult to get used to.\n2. Complicated itemization of orders: The reviewer criticizes the complexity of the order itemization', ' stating that modifications are listed as separate items', ' which makes it difficult to follow.\n3. Difficulty in validating orders: The reviewer mentions that it is almost impossible to validate orders due to the complicated itemization', ' and this issue can lead to leaving things behind and incurring extra costs.\n4. Negative impact on job performance: The reviewer states that the complicated itemization has had a negative impact on their ability to successfully perform their job.']"
e4132ded-e62b-4117-a838-6f3206d72dcc,Edgar Acosta,https://play-lh.googleusercontent.com/a/ACg8ocL2t9DCwa8CsGo3c-T0HWwvaeg9dMy70LcGfk6wKCM5=mo,"Constantly keeps syncing or crashing as im about to scan also it lags a lot. They should make it similar to the Amazon app adding gate codes, locker codes, etc. As well as automatically grouping multiple packages for one stop, and organizing the routes a little better im constantly going back and forth to the same areas I've been even after sorting the route by distance. Instead of auto zooming when selecting the map it should already pull up the area you'll be delivering at, it takes too long.",3,0,1.1.341,2020-09-09 23:24:39,,,1.1.341,2020-09,499,"Overall, the sentiment of this review is negative. The reviewer expresses frustration with the app's syncing issues, crashing, lagging, and lack of certain features. They suggest improvements such as adding gate codes and locker codes, automatically grouping multiple packages, and organizing routes better. The reviewer also criticizes the app for constantly making them go back and forth to the same areas, even after sorting the route by distance. They further highlight the inconvenience of the app's auto-zooming feature.",Positive,"['Based on the review', ' the main topics can be identified as follows:\n\n1. Syncing and crashing issues\n2. Lagging\n3. Suggestions for improvement:\n   a. Adding gate codes and locker codes\n   b. Automatically grouping multiple packages for one stop\n   c. Organizing routes more efficiently\n   d. Improving map functionality and speed']"
ad4666d2-9a59-4495-b76e-607d05579947,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"This is app pulls so much of my phone's GPS capabilities, that I can barely run Google maps to see where my orders need to go. Maps often crashes because this app takes so much power. In addition, it says the orders are listed in order of priority, but they are listed newest first, not by which one is due soonest. Don't know what your priorities are, but mine is to have the order due soonest at the top so I don't have to look for it!",2,5,1.1.196,2018-11-09 17:07:54,,,1.1.196,2018-11,437,"Overall, the sentiment of this review is negative. The reviewer expresses frustration with the app's impact on their phone's GPS capabilities, causing Google Maps to crash. They also criticize the app's order listing system, stating that it does not prioritize orders based on their due dates.",Positive,"['Based on the review', "" the main topics can be identified as:\n\n1. GPS Capability: The review mentions that the app uses a significant amount of the phone's GPS capabilities"", "" causing issues with running other GPS-dependent apps like Google Maps.\n\n2. App Performance: The review highlights that the app's heavy usage of GPS power leads to crashes and performance issues.\n\n3. Order Prioritization: The review criticizes the app's order listing"", ' stating that it does not prioritize orders based on their due dates. The reviewer expresses a preference for having the order due soonest at the top for convenience.']"
356cc869-e9cd-4632-af21-486023b8e477,Courtney “Courtneylius”,https://play-lh.googleusercontent.com/a-/ALV-UjV6gaUOStzdq4Lm4Mc3zGkrtRNvdVH6SL2sK9aG7wLgAc0,"Extremely unstable on Galaxy note 9. Orders are randomly removed in the middle of deliveries and if one goes, they all go. VERY AGGRAVATING when I need to call a guest and I have to call my store for a phone number when I no longer have my orders. No ability to request IT help in app either. Happens almost daily and impeding my ability to work. Other than that it's a solid easy to use app. PLEASE fix!",1,3,1.1.319,2020-05-27 19:14:24,"I'm sorry to hear that you are having this issue. We have a theory for why this is happening and would like to get this resolved for you quickly. Can you please shoot us an email at support@bringg.com? 

Thanks for reaching out, and have a great day!",2020-06-03 13:14:45,1.1.319,2020-05,404,"Overall, the sentiment of this review is negative. The reviewer expresses frustration and aggravation due to the app's instability on their Galaxy Note 9. They mention that orders are randomly removed in the middle of deliveries, causing inconvenience and hindering their ability to work. They also express annoyance at not being able to request IT help within the app. However, they acknowledge that the app is easy to use and solid, apart from these issues.",Neutral,"['Based on the review', ' the main topics can be identified as follows:\n\n1. Stability issues on Galaxy Note 9: The reviewer mentions that the app is extremely unstable on their Galaxy Note 9 device. This is the primary issue they are facing.\n\n2. Orders being randomly removed: The reviewer states that their orders are being randomly removed in the middle of deliveries. This is causing frustration and inconvenience for them', ' especially when they need to call a guest and no longer have access to the order details.\n\n3. Lack of ability to request IT help in the app: The reviewer mentions that there is no option to request IT help within the app. This adds to their frustration as they are unable to seek assistance when facing issues.\n\n4. Daily occurrence and impact on work: The reviewer states that these issues happen almost daily and are impeding their ability to work effectively. This indicates that the problem is persistent and negatively affecting their job performance.\n\n5. Overall positive feedback: Despite the mentioned issues', ' the reviewer acknowledges that the app is generally easy to use and solid. They appreciate its usability and functionality', ' apart from the specific problems mentioned.\n\n6. Call for improvement: The reviewer concludes by requesting the developers to fix the mentioned issues', ' indicating their desire for a resolution to the problems they are facing.']"
8ffa6523-0b1b-42f4-907f-f1fc41692eb9,John Hickling,https://play-lh.googleusercontent.com/a-/ALV-UjW2WAD1PHaMNsH-dKdRjYcAsdPlY04uD0q06UtqhpibkUE,I'm a delivery driver and I use this app along with Google maps. Tonight I have been taken to some very bizarre addresses that do not match up with the customer order. I don't know if it's Google Maps or if it's you. I'd love to similar review on Google maps. My guess is you always say it's the other and reinstall the other app. But I've done that and the problem persists,1,4,1.28.0,2022-09-15 01:26:08,"Hi John, thank you for the feedback. Sorry to hear about your bad experience. The non accurate address issue is fixed in 1.28.1 version. Please update your app and let us know at product.support@bringg.com if you still have a problem. Please contact us for the other issues you face so we can assist you with it as well.",2022-10-02 08:39:39,1.28.0,2022-09,374,"Overall, the sentiment of this review is negative. The reviewer expresses frustration and dissatisfaction with the app's performance. They mention being taken to bizarre addresses that do not align with customer orders and question whether the issue lies with the app or Google Maps. The reviewer also suggests that the app's customer support might blame the other app and recommend reinstalling it, but states that they have already tried that without success.",Positive,"[""The main topics in this review are:\n\n1. App functionality: The customer mentions using the app as a delivery driver and experiencing issues with bizarre addresses that do not match up with the customer order.\n\n2. Possible causes: The customer expresses uncertainty about whether the problem lies with the app or with Google Maps.\n\n3. Frustration and dissatisfaction: The customer expresses frustration with the recurring problem and suggests that the app's customer support may not adequately address the issue.""]"
