profile_id;sequence_nbr;start_date;end_date;company;title;country;region;location;is_title_d_and_a;tk_title_standardized_original_language;tk_title_original_language;tk_title_standardized_english;tk_title_standardized_group;tk_title_standardized_class;is_title_manager;odp_function;mck_function
d4333688-c76f-4ccf-822c-1e926295cc81;2;01/01/2011;;Global-e Ltd.;Supervisor;Argentina;;;FALSE;Spanish;Consultor (Otros);Consultant (other);Other Professions;Other;FALSE;Digital & Analytics;Analytics
0f8cba01-fdd6-4eb9-b1d4-376a73fb3de4;10;09/01/2021;;Deel;Marketing Director LATAM;Argentina;Buenos Aires;;FALSE;;;;;;TRUE;Marketing & Sales;Marketing
13697700-11c0-4567-ab56-03623236db1d;6;06/01/2022;;Deel;FinTech Customer Operations Specialist;Argentina;;;FALSE;;;;;;FALSE;Operations;Operations
d4333688-c76f-4ccf-822c-1e926295cc81;3;03/01/2012;;Global-e Ltd.;Encargado de turnos;Argentina;;;FALSE;Spanish;Gerente de sucursal;Branch Manager;Sales Managers;Sales and Trading;FALSE;Operations;Operations
897a8fa5-4fa1-41f8-bef4-bba5c7a69f2d;4;11/01/2014;;Global-e Ltd.;Analista en RRHH;Argentina;;;FALSE;Spanish;Analista (otros);Analyst (other);Management Analysts and Consultants;Management, Policy and Governance;FALSE;Marketing & Sales;Communications
8ca56966-fd79-42dd-950c-d83364ce6a22;8;05/01/2019;09/01/2021;Taboola;Media Sales Manager, ANZ;Australia;;;FALSE;English;Media Manager;Media Manager;Communication, Marketing and Public Relations Managers;Communication, Marketing and Public Relations;FALSE;Marketing & Sales;Sales
8ca56966-fd79-42dd-950c-d83364ce6a22;9;09/01/2021;10/01/2022;Taboola;Sales Director ANZ;Australia;;;FALSE;English;Head of Sales;Head of Sales;Sales Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
8a3fdf00-91f5-424c-801e-a434d9d74468;7;02/01/2019;;Taboola;Senior Publisher Sales Manager - Australia, New Zealand and South East Asia;Australia;;;FALSE;;;;;;FALSE;Marketing & Sales;Sales
8a3fdf00-91f5-424c-801e-a434d9d74468;8;05/01/2022;;Taboola;Country Manager Australia and New Zealand;Australia;New South Wales;;FALSE;English;Country Manager;Country Manager;Sales Managers;Sales and Trading;TRUE;Marketing & Sales;Sales
8904955b-dcd0-4cca-a66b-fdfdb2d89362;5;06/01/2022;;AppsFlyer;Account Executive;Australia;;;FALSE;English;Salesperson;Salesperson;Sellers;Sales and Trading;FALSE;Marketing & Sales;Sales
0c0c3da0-15a7-47e7-ac6a-ecbe6ff0a95e;7;02/01/2021;04/01/2022;OwnBackup;Account Executive;Australia;New South Wales;;FALSE;English;Account Manager (other);Account Manager (other);Business Services Account Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
d909076d-8b90-491a-b357-2be73cf2ef2c;3;08/01/2021;01/01/2023;Papaya Global Group;Account Specialist;Australia;Victoria;;FALSE;English;Operations Research Analyst;Operations Research Analyst;Management Analysts and Consultants;Management, Policy and Governance;FALSE;Finance;Finance
a1003672-db02-4452-894c-3d6fce18afcb;4;01/01/2022;;Riskified;Integrations Engineer;Australia;Victoria;;FALSE;English;System Integration Expert;System Integration Expert;Consultants and Specialists;Information and Communication Technology;FALSE;Digital & Analytics;IT
d5013fed-f692-477b-b4c4-0a28dbe6906c;10;03/01/2020;09/01/2021;SimilarWeb;Sales Engineer;Australia;New South Wales;;FALSE;English;Solutions Architect;Solutions Architect;System Developers and Analysts;Information and Communication Technology;FALSE;Marketing & Sales;Sales
8aff7f01-b0da-439b-90e9-0d6885303c4f;6;12/01/2020;;SimilarWeb;Sales Manager, Enterprise Accounts, ANZ & SEA;Australia;New South Wales;;FALSE;;;;;;FALSE;Marketing & Sales;Sales
d5013fed-f692-477b-b4c4-0a28dbe6906c;11;09/01/2021;;SimilarWeb;Sales Engineer;Australia;New South Wales;;FALSE;English;Solutions Architect;Solutions Architect;System Developers and Analysts;Information and Communication Technology;FALSE;Marketing & Sales;Sales
9b153cc5-55fa-45d8-b04d-963e64553071;13;03/01/2022;;monday.com;Territory Manager;Australia;Victoria;;FALSE;English;Account Manager (other);Account Manager (other);Business Services Account Managers;Sales and Trading;TRUE;Operations;Operations
47323151-1bf7-4235-8970-40925c78fe30;6;10/01/2019;;SimilarWeb;Market Intelligence Representative;Australia;;;FALSE;;;;;;FALSE;Digital & Analytics;Analytics
d5f122f3-7509-41d6-8fb0-d37670c811a5;7;06/01/2019;10/01/2020;WalkMe™;Technical Consultant;Australia;New South Wales;;TRUE;English;Solutions Architect;Solutions Architect;System Developers and Analysts;Information and Communication Technology;FALSE;Operations;Operations
bdf38586-d8a5-4bca-8453-724bce46043e;10;11/01/2021;;WalkMe™;Corporate Account Manager;Australia;New South Wales;;FALSE;English;Account Director;Account Director;Business Services Account Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
472faa03-9c9f-4968-bb45-e74cd65246f6;9;11/01/2020;01/01/2022;WalkMe™;Strategic Business Development - APAC;Australia;New South Wales;;FALSE;;;;;;FALSE;Marketing & Sales;Marketing
d5f122f3-7509-41d6-8fb0-d37670c811a5;9;03/01/2021;;WalkMe™;Technical Account Manager;Australia;New South Wales;;TRUE;English;Account Manager (Technical Products);Account Manager (Technical Products);Articles and Products Representives;Sales and Trading;FALSE;Marketing & Sales;Sales
472faa03-9c9f-4968-bb45-e74cd65246f6;10;01/01/2022;;WalkMe™;Senior Account Development - APAC;Australia;;;FALSE;;;;;;FALSE;Marketing & Sales;Sales
d5f122f3-7509-41d6-8fb0-d37670c811a5;8;10/01/2020;03/01/2021;WalkMe™;Sales Engineer;Australia;New South Wales;;FALSE;English;Solutions Architect;Solutions Architect;System Developers and Analysts;Information and Communication Technology;FALSE;Marketing & Sales;Sales
46b34ea6-0c01-429f-aabf-ede8ab6ee229;9;10/01/2021;;Deel;Customer Success Manager, APAC;Australia;;;FALSE;English;Customer Manager;Customer Manager;Heads of Administration and Customer Services;Administration and Customer Service;TRUE;Operations;Operations
9652e55c-344e-4cf3-908e-b14b41d23b2f;7;02/01/2022;;Papaya Global Group;Implementation Manager;Australia;Victoria;;FALSE;English;Implementation Specialist;Implementation Specialist;Consultants and Specialists;Information and Communication Technology;TRUE;Digital & Analytics;IT
1a8f76f5-12a9-4b47-a55a-307c2d39ee3a;6;06/01/2022;10/01/2022;Yotpo;Office Manager;Australia;New South Wales;;FALSE;English;Office Manager;Office Manager;Heads of Administration and Customer Services;Administration and Customer Service;TRUE;Operations;Administration
fab3edcc-60ce-4552-bb8e-bca25b443db8;10;01/01/2022;;Yotpo;Owner Partner;Australia;New South Wales;;FALSE;English;Account Manager (other);Account Manager (other);Business Services Account Managers;Sales and Trading;FALSE;Other;Other
7589cafb-cfbf-4ab0-bb1e-c0ddd5df3381;1;01/01/1985;;Tipalti;tipaza;Algeria;;;FALSE;;;;;;FALSE;Operations;Operations
5bc19e37-f249-4303-9d12-bb4b2901cced;9;06/01/2022;;AppsFlyer;Agency Alliances Manager SP Latam;Argentina;;;FALSE;;;;;;TRUE;Operations;Operations
00103281-58e0-481e-9947-e0a47e8f4f5f;4;12/01/2017;03/01/2019;AppsFlyer;Customer Success Manager;Argentina;Buenos Aires;;FALSE;;;;;;TRUE;Operations;Administration
00103281-58e0-481e-9947-e0a47e8f4f5f;3;08/01/2016;12/01/2017;AppsFlyer;Customer Success Manager for LATAM;Argentina;Buenos Aires;;FALSE;;;;;;TRUE;Operations;Operations
e6cb7365-fc5e-49d1-a44e-f496a7c6bac1;2;09/01/2020;;Verbit.ai;Transcriptor;Argentina;;;FALSE;Spanish;Transcriptor médico;Medical Transcriptionist;Typists;Administration and Customer Service;FALSE;Operations;Operations
