;profile_id;sequence_nbr;start_date;end_date;company;title;country;region;location;is_title_d_and_a;tk_title_standardized_original_language;tk_title_original_language;tk_title_standardized_english;tk_title_standardized_group;tk_title_standardized_class;is_title_manager;odp_function;mck_function
0;cf706fc6-0ad7-44a2-b075-46436902b541;10;01/03/2022;;IncrediBuild;Revenue Enablement Director;Israel;Tel Aviv;;FALSE;;;;;;TRUE;Executive;Executive
1;714ec618-c843-4cc0-a3b6-bb3eba82b8df;10;01/09/2020;01/02/2022;IncrediBuild;Head of Performance Marketing;Israel;;;FALSE;English;Head of Marketing;Head of Marketing;Communication, Marketing and Public Relations Managers;Communication, Marketing and Public Relations;TRUE;Marketing & Sales;Marketing
2;14cf16f1-caf6-4c0d-b26f-ebb4879aab3f;6;01/11/2017;01/01/2021;IncrediBuild;Team Lead & Full Stack Developer;Israel;;;TRUE;English;Web Developer;Web Developer;Web Professionals;Information and Communication Technology;TRUE;;
3;d3aa4910-3740-42b2-9740-090bdff10c51;7;01/01/2023;;IncrediBuild;Account Executive;Israel;Tel Aviv;;FALSE;English;Salesperson;Salesperson;Sellers;Sales and Trading;FALSE;Marketing & Sales;Sales
4;5558f1f2-91e6-4527-9f9b-a1bca25e429b;4;01/09/2015;01/08/2017;IncrediBuild;Senior Customer Success Engineer;Israel;;;FALSE;;;;;;FALSE;Operations;Operations
5;d073987f-080f-40c6-8249-f9551521eee2;11;01/06/2022;01/04/2023;IncrediBuild;Cto And Vp Of Engineering At Incredibuild;Israel;Tel Aviv;;FALSE;;;;;;TRUE;Other;Other
6;06f06578-4c2a-4210-a53d-5e8188f23956;6;01/04/2019;01/03/2022;IncrediBuild;Account Manager;Israel;Tel Aviv;;FALSE;English;Account Manager (other);Account Manager (other);Business Services Account Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
7;e16fbf98-3da0-429d-8108-c12a8d8d8164;4;01/03/2016;01/11/2016;IncrediBuild;Recruitment Manager(Via 6knots);Israel;Tel Aviv;;FALSE;;;;;;TRUE;Legal, Risk & HR;HR
8;f8edffb4-394d-40db-8337-349daf69bfeb;6;01/01/2020;01/07/2020;IncrediBuild;Cto Office - Innovation Research;Israel;Tel Aviv;;TRUE;;;;;;TRUE;;
9;691fdfeb-bfb4-4e5a-93cb-7ec5668b3966;9;01/12/2021;;IncrediBuild;DevOps Tech Lead;Israel;Tel Aviv;;TRUE;;;;;;TRUE;Digital & Analytics;IT
10;f8edffb4-394d-40db-8337-349daf69bfeb;7;01/07/2020;;IncrediBuild;Developer, Linux Professional Services;Israel;;;TRUE;;;;;;FALSE;;
11;1b02261e-cb27-4916-a542-9a6a917f988f;3;01/03/2020;01/09/2021;IncrediBuild;Account Manager;Israel;Tel Aviv;;FALSE;English;Account Manager (other);Account Manager (other);Business Services Account Managers;Sales and Trading;FALSE;Marketing & Sales;Sales
12;7c6c7855-cbdf-41d0-b314-c1dffc3c69af;4;01/08/2021;;IncrediBuild;Software Engineer;Israel;Tel Aviv;;TRUE;English;Software Engineer;Software Engineer;Programmers;Information and Communication Technology;FALSE;Digital & Analytics;IT
13;39f6cb3b-8340-4075-9386-669fe8eb82ef;7;01/07/2021;;IncrediBuild;Automation Architect And Lead;Israel;Tel Aviv;;TRUE;;;;;;TRUE;Other;Other
